
sVehicle ID: 1, Time: 2023-10-24 21:11:14.832278, Speed: 37.67716821896807 km/h
Vehicle ID: 0, Time: 2023-10-24 21:11:16.568941, Speed: 32.53398547125764 km/h
Vehicle ID: 2, Time: 2023-10-24 21:11:17.364064, Speed: 45.20905516797224 km/h
Vehicle ID: 19, Time: 2023-10-24 21:11:27.493662, Speed: 42.98981818968654 km/h
Vehicle ID: 17, Time: 2023-10-24 21:11:30.473208, Speed: 36.15474557700117 km/h
Vehicle ID: 21, Time: 2023-10-24 21:11:32.661950, Speed: 35.59586263214523 km/h
Vehicle ID: 1, Time: 2023-10-24 21:56:09.192134, Speed: 35.563836161577335 km/h
Vehicle ID: 0, Time: 2023-10-24 21:56:11.095422, Speed: 30.6124404203168 km/h
Vehicle ID: 2, Time: 2023-10-24 21:56:11.879524, Speed: 45.912452056369 km/h
Vehicle ID: 19, Time: 2023-10-24 21:56:21.628965, Speed: 45.06358027509999 km/h
Vehicle ID: 17, Time: 2023-10-24 21:56:24.776547, Speed: 34.22020510147424 km/h
Vehicle ID: 21, Time: 2023-10-24 21:56:27.146497, Speed: 32.676388398065406 km/h
Vehicle ID: 27, Time: 2023-10-24 21:56:33.276754, Speed: 32.73251136571547 km/h
Vehicle ID: 33, Time: 2023-10-24 21:56:35.321013, Speed: 31.07409113986258 km/h
Vehicle ID: 48, Time: 2023-10-24 21:56:43.245493, Speed: 26.455990038197772 km/h
Vehicle ID: 44, Time: 2023-10-24 21:56:47.705586, Speed: 22.98251565603124 km/h
Vehicle ID: 1, Time: 2023-10-25 13:04:32.735106, Speed: 40.534260516241226 km/h
Vehicle ID: 0, Time: 2023-10-25 13:04:34.347992, Speed: 35.01741281763712 km/h
Vehicle ID: 2, Time: 2023-10-25 13:04:35.091004, Speed: 48.45141027204293 km/h
Vehicle ID: 19, Time: 2023-10-25 13:04:44.444938, Speed: 48.620764337568204 km/h
Vehicle ID: 17, Time: 2023-10-25 13:04:47.040591, Speed: 41.67733540972539 km/h
Vehicle ID: 21, Time: 2023-10-25 13:04:48.891020, Speed: 42.022556014324884 km/h
Vehicle ID: 27, Time: 2023-10-25 13:04:53.452158, Speed: 41.564457070185725 km/h
Vehicle ID: 33, Time: 2023-10-25 13:04:55.213641, Speed: 34.913885601632636 km/h
Vehicle ID: 1, Time: 2023-10-25 13:38:38.826523, Speed: 41.29125750035687 km/h
Vehicle ID: 0, Time: 2023-10-25 13:38:40.437824, Speed: 35.033938582289124 km/h
Vehicle ID: 2, Time: 2023-10-25 13:38:41.189747, Speed: 47.87723738455968 km/h
Vehicle ID: 19, Time: 2023-10-25 13:38:50.469697, Speed: 47.39539282522725 km/h
